説明(英語),説明(英語)
weights : Input/output vector of weights of rectangles. Output vector includes weights of retained and grouped rectangles. (The Python list is not modified in place.),weights : 矩形の重みの入力/出力ベクトル．出力ベクトルには，保持された矩形とグループ化された矩形の重みが含まれます．(Pythonのリストはその場では変更されません。)
"Detection window size. Align to block size and block stride. Default value is Size(64,128).","検出ウィンドウサイズ．ブロックサイズとブロックストライドに合わせます．デフォルト値は Size(64,128)."
"Block size in pixels. Align to cell size. Default value is Size(16,16).","ブロックサイズ（ピクセル）。セルサイズに合わせます。初期値はSize(16,16)です。"
"Block stride. It must be a multiple of cell size. Default value is Size(8,8).","ブロックのストライド。セルサイズの倍数である必要があります。初期値は Size(8,8) です。"
"Cell size. Default value is Size(8,8).","セルの大きさ。初期値はSize(8,8)です。"
Number of bins used in the calculation of histogram of gradients. Default value is 9.,グラデーションのヒストグラムの計算に使われるビンの数．既定値は9です．
not documented,ドキュメントなし
Gaussian smoothing window parameter.,ガウス平滑化窓のパラメータ．
histogramNormType,histogramNormType
L2-Hys normalization method shrinkage.,L2-Hys正規化法の縮退．
Flag to specify whether the gamma correction preprocessing is required or not.,ガンマ補正の前処理が必要かどうかを指定するフラグ．
Maximum number of detection window increases. Default value is 64.,検出窓の最大増加数．デフォルト値は64です。
Examples: samples/tapi/hog.cpp.,例： samples/tapi/hog.cpp.
Indicates signed gradient will be used or not.,符号付きグラデーションを使用するかどうかを示します。
sets the epsilon used during the horizontal scan of QR code stop marker detection.,QRコードのストップマーカー検出の水平走査時に使用するイプシロンを設定します。
"epsX : Epsilon neighborhood, which allows you to determine the horizontal pattern of the scheme 1:1:3:1:1 according to QR code standard.",epsX : イプシロンの近傍で、QRコードの規格に従った1:1:3:1:1の方式の水平パターンを決定することができます。
sets the epsilon used during the vertical scan of QR code stop marker detection.,は、QRコードのストップマーカ検出の垂直走査時に使用するイプシロンを設定します。
"epsY : Epsilon neighborhood, which allows you to determine the vertical pattern of the scheme 1:1:3:1:1 according to QR code standard.",epsY : イプシロンの近傍で、QRコードの規格に従ったスキーム1:1:3:1:1の垂直パターンを決定することができます。
Detects QR code in image and returns the quadrangle containing the code.,画像中のQRコードを検出し、そのコードを含む四角形を返します。
img : grayscale or color (BGR) image containing (or not) QR code.,img : QRコードを含む（または含まない）グレースケールまたはカラー（BGR）画像．
points : Output vector of vertices of the minimum-area quadrangle containing the code.,points :コードを含む最小面積の四角形の頂点の出力ベクトル．
Decodes QR code in image once it's found by the detect() method.,detect()メソッドで見つかった画像中のQRコードをデコードします。
img : grayscale or color (BGR) image containing QR code.,img : QRコードを含むグレースケールまたはカラー（BGR）画像．
points : Quadrangle vertices found by detect() method (or some other algorithm).,points :detect()メソッド（または他のアルゴリズム）で見つけた四角形の頂点。
straight_qrcode : The optional output image containing rectified and binarized QR code,"straight_qrcode :rectified, binarized QR code を含む出力画像（オプション）．"
Returns UTF8-encoded output string or empty string if the code cannot be decoded.,UTF8 エンコードされた出力文字列、またはコードがデコードできない場合は空の文字列を返します。
Both detects and decodes QR code.,QRコードの検出とデコードの両方を行います。
points : optional output array of vertices of the found QR code quadrangle. Will be empty if not found.,points : 見つかったQRコードの四角形の頂点を示す出力配列（オプション）．見つからない場合は空になります．
Detects QR codes in image and returns the vector of the quadrangles containing the codes.,画像中のQRコードを検出し，そのコードを含む四角形のベクトルを返す．
img : grayscale or color (BGR) image containing (or not) QR codes.,img : QRコードを含む（または含まない）グレースケールまたはカラー（BGR）画像．
points : Output vector of vector of vertices of the minimum-area quadrangle containing the codes.,points :コードを含む最小面積の四角形の頂点のベクトルの出力ベクトル．
Decodes QR codes in image once it's found by the detect() method.,detect()メソッドで見つかった画像のQRコードをデコードします。
